MLSNumber,Address,Status,SoldPrice,OriginalPrice,CurrentPrice,Last List Price,DOM,PMP,ListDate,StatusDate,Agreement of Sale/Signed Lease Date,SettledDate,Concessions YN,Concessions Remarks,SellerConcessionsAmount,FinalFinancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC519198,4976 Mermaid Blvd,Closed,"$218,000 ","$212,900 ","$212,900 ",,3,3,1/11/21,2/19/21,1/13/21,2/19/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507636,5417 Jenmatt Dr,Closed,"$219,000 ","$219,000 ","$219,000 ",,4,4,8/21/20,10/9/20,8/24/20,10/9/20,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509542,5409 Jenmatt Dr,Closed,"$219,500 ","$210,000 ","$210,000 ",,3,3,10/1/20,11/13/20,10/2/20,11/12/20,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505724,3010 Charing Cross,Closed,"$219,900 ","$219,900 ","$219,900 ",,26,26,7/23/20,9/29/20,8/16/20,9/29/20,Yes,,"$2,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505084,2004 Louisa Ave,Closed,"$219,900 ","$219,900 ","$219,900 ",,29,29,7/14/20,10/22/20,8/9/20,10/16/20,Yes,,"$6,597 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523372,5026 N Tupelo Turn,Closed,"$220,000 ","$209,900 ","$209,900 ",,6,6,3/30/21,5/5/21,4/2/21,5/5/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520810,11 Kristina Ct,Closed,"$220,000 ","$220,000 ","$220,000 ",,7,7,2/9/21,3/24/21,2/15/21,3/24/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509390,1902 Lincoln Ave.,Closed,"$221,000 ","$209,900 ","$209,900 ",,5,5,9/17/20,11/12/20,9/21/20,11/12/20,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC499486,1118 Braken Ave,Closed,"$223,000 ","$230,000 ","$230,000 ",,13,13,4/9/20,6/8/20,4/20/20,6/5/20,Yes,,"$1,200 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511264,3221 Brookline Rd,Closed,"$224,900 ","$234,900 ","$224,900 ","$234,900 ",12,12,10/11/20,11/30/20,10/25/20,11/30/20,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
