MLSNumber,Address,Status,SoldPrice,OriginalPrice,CurrentPrice,Last List Price,DOM,PMP,ListDate,StatusDate,Agreement of Sale/Signed Lease Date,SettledDate,Concessions YN,Concessions Remarks,SellerConcessionsAmount,FinalFinancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2001798,2251 Saint James Dr,Closed,"$350,000 ","$299,000 ","$355,000 ","$299,000 ",6,6,7/9/21,8/23/21,7/14/21,8/20/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC525612,20 Kelso Ct,Closed,"$350,000 ","$369,900 ","$369,900 ",,19,19,5/2/21,7/3/21,5/20/21,6/30/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000541,104 Gregg Dr,Closed,"$351,150 ","$325,000 ","$325,000 ",,7,7,10/12/21,11/15/21,10/17/21,11/15/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2015710,888 N Waterford Ln,Closed,"$352,500 ","$329,900 ","$329,900 ",,8,8,2/20/22,3/18/22,2/25/22,3/18/22,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2007322,2504 Belford Dr,Closed,"$352,500 ","$299,900 ","$299,900 ",,4,4,9/18/21,10/7/21,9/22/21,10/7/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2011356,1113 Elderon Dr,Closed,"$355,000 ","$339,000 ","$339,000 ",,7,7,11/30/21,2/7/22,12/6/21,2/4/22,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2001462,3520 Hopkins Dr,Closed,"$355,000 ","$359,000 ","$359,000 ",,14,14,7/1/21,9/17/21,8/10/21,9/17/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2018082,2108 Carol Dr,Closed,"$357,000 ","$333,000 ","$333,000 ",,6,6,3/17/22,5/11/22,3/21/22,5/5/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000274,2826 W Oakland Dr,Closed,"$359,000 ","$359,000 ","$359,000 ",,5,5,6/18/21,7/21/21,6/21/21,7/21/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2020688,2731 Barnsley Rd,Closed,"$359,900 ","$359,900 ","$359,900 ",,8,8,3/31/22,5/16/22,4/6/22,5/16/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2021622,1208 Highgate Rd,Closed,"$360,000 ","$360,000 ","$360,000 ",,10,10,4/16/22,6/21/22,4/25/22,5/25/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2021332,2605 Heritage Farm Dr,Closed,"$360,000 ","$330,000 ","$360,000 ","$330,000 ",3,3,4/10/22,5/20/22,4/13/22,5/20/22,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2020722,2603 Whittier Pl,Closed,"$360,000 ","$360,000 ","$360,000 ",,1,1,4/7/22,5/31/22,4/8/22,5/27/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2020524,136 Steven Ln,Closed,"$360,000 ","$355,000 ","$355,000 ",,8,8,3/31/22,5/31/22,4/7/22,5/27/22,No,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2020198,22 Ronna Dr,Closed,"$360,000 ","$335,000 ","$360,000 ","$335,000 ",3,3,3/27/22,5/6/22,3/29/22,5/6/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2018750,2435 W Eric Dr,Closed,"$360,000 ","$335,000 ","$335,000 ",,5,5,3/6/22,4/13/22,3/10/22,4/13/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2017290,4510 Hendry Avenue,Closed,"$360,000 ","$359,900 ","$359,900 ",,7,7,2/17/22,3/25/22,2/23/22,3/25/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2016556,2205 Saint Francis St,Closed,"$360,000 ","$335,000 ","$360,000 ","$335,000 ",3,3,2/11/22,3/25/22,2/16/22,3/25/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2016112,2710 E Riding Dr,Closed,"$360,000 ","$359,900 ","$359,900 ",,9,9,2/15/22,6/1/22,2/28/22,5/31/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000021,5455 Crestline Rd,Closed,"$360,000 ","$350,000 ","$350,000 ",,6,6,10/7/21,11/29/21,10/11/21,11/23/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2002290,2114 Saint Francis St,Closed,"$360,000 ","$330,000 ","$360,000 ","$330,000 ",6,6,7/15/21,9/16/21,7/20/21,9/16/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000774,2429 W Eric Dr,Closed,"$360,000 ","$340,000 ","$340,000 ",,6,6,6/23/21,7/26/21,6/30/21,7/26/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000712,2613 Salem Dr,Closed,"$360,000 ","$385,000 ","$374,900 ","$385,000 ",15,15,6/22/21,8/6/21,7/5/21,8/6/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC528540,2405 Nicholby Dr,Closed,"$360,000 ","$330,000 ","$330,000 ",,4,4,6/8/21,7/16/21,6/11/21,7/15/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2020234,2200 Saint James Dr,Closed,"$361,000 ","$335,000 ","$335,000 ",,5,5,4/1/22,6/8/22,4/5/22,5/31/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2009074,3530 Hopkins Dr,Closed,"$362,000 ","$350,000 ","$350,000 ",,4,4,10/22/21,12/6/21,10/25/21,12/3/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2009002,962 Glackens Ln,Closed,"$362,500 ","$370,000 ","$370,000 ",,6,6,10/21/21,12/1/21,10/25/21,11/30/21,Yes,,$600 ,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2004506,2506 Saint George St,Closed,"$363,500 ","$325,000 ","$325,000 ",,4,4,8/10/21,9/17/21,8/13/21,9/17/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019226,2617 Pecksniff Rd,Closed,"$365,000 ","$340,000 ","$340,000 ",,3,3,3/8/22,4/11/22,3/10/22,4/11/22,No,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2009660,17 Kathlyn Ct,Closed,"$365,000 ","$349,900 ","$349,900 ",,4,4,11/1/21,12/7/21,11/3/21,12/7/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2004726,2510 Lindell Rd,Closed,"$365,000 ","$337,500 ","$365,000 ","$337,500 ",9,9,8/12/21,9/30/21,8/16/21,9/30/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC526632,2647 Drayton Dr,Closed,"$365,000 ","$324,900 ","$324,900 ",,4,4,5/14/21,6/21/21,5/17/21,6/21/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2005864,2407 Saint Francis,Closed,"$365,900 ","$375,000 ","$365,900 ","$375,000 ",32,32,10/7/21,12/3/21,11/6/21,12/2/21,No,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC527062,2509 Saint George St,Closed,"$367,000 ","$350,000 ","$350,000 ",,6,6,5/21/21,7/6/21,5/25/21,7/6/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2003550,2718 Skylark Rd,Closed,"$369,900 ","$369,900 ","$369,900 ",,15,15,8/7/21,10/8/21,8/18/21,10/8/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2018806,2111 Lori Dr,Closed,"$370,000 ","$369,900 ","$369,900 ",,4,4,4/1/22,5/10/22,4/4/22,5/6/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2018112,2405 Nicholby Dr,Closed,"$370,000 ","$399,900 ","$370,000 ","$399,900 ",18,18,3/8/22,4/27/22,3/26/22,4/27/22,No,,,FHA203b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2008040,244 Steeplechase Cir,Closed,"$370,000 ","$359,900 ","$359,900 ",,6,6,10/1/21,12/16/21,10/4/21,12/10/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2003324,600 Cranhill Dr,Closed,"$370,000 ","$365,000 ","$365,000 ",,5,5,7/30/21,9/15/21,8/3/21,9/15/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2016816,1989 Carol Dr,Closed,"$372,000 ","$329,900 ","$366,000 ","$329,900 ",6,6,2/5/22,3/30/22,2/10/22,3/30/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2008478,101 Shinn Cir,Closed,"$372,000 ","$365,000 ","$359,500 ","$365,000 ",5,5,10/5/21,12/15/21,10/9/21,12/15/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000572,5600 Orchard Ave,Closed,"$372,500 ","$325,000 ","$372,500 ","$325,000 ",5,5,6/22/21,8/31/21,6/26/21,8/31/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2001400,1121 Elderon Dr,Closed,"$373,000 ","$359,900 ","$379,900 ","$359,900 ",8,8,6/30/21,8/10/21,7/6/21,8/10/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2020378,2810 Herbert Dr,Closed,"$375,000 ","$369,900 ","$369,900 ",,4,4,3/31/22,5/6/22,4/2/22,5/6/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2018548,1 Degas Cir,Closed,"$375,000 ","$385,000 ","$385,000 ",,9,9,3/3/22,5/31/22,3/12/22,5/26/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2016766,106 Hunter Ct,Closed,"$375,000 ","$375,000 ","$375,000 ",,1,1,2/3/22,3/18/22,2/3/22,3/18/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2015812,2410 Nicholby Dr,Closed,"$375,000 ","$349,900 ","$349,900 ",,6,6,1/26/22,3/11/22,1/31/22,3/11/22,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2001248,2902 Jaffe Rd,Closed,"$375,000 ","$365,000 ","$365,000 ",,6,6,6/30/21,8/9/21,7/5/21,8/9/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000144,654 Beaver Falls Pl,Closed,"$375,000 ","$375,000 ","$375,000 ",,8,8,6/18/21,9/1/21,7/12/21,8/31/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC525878,1157 Elderon Dr,Closed,"$376,000 ","$359,900 ","$375,000 ","$359,900 ",4,4,5/4/21,6/14/21,5/10/21,6/14/21,No,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2013258,2508 Belford Dr,Closed,"$380,000 ","$380,000 ","$370,000 ","$380,000 ",16,16,12/23/21,2/22/22,1/7/22,2/22/22,Yes,Settlement help,"$10,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000347,114 Hunter Ct,Closed,"$380,000 ","$369,900 ","$369,900 ",,4,4,10/8/21,11/23/21,10/10/21,11/23/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2004176,2918 Mattahoon Rd,Closed,"$380,000 ","$359,990 ","$359,990 ",,5,5,8/5/21,9/13/21,8/9/21,9/9/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC528966,8 Homer Ct,Closed,"$380,201 ","$350,000 ","$350,000 ",,6,6,6/23/21,8/20/21,6/28/21,8/20/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2017332,619 Beaver Falls Pl,Closed,"$381,000 ","$375,000 ","$375,000 ",,4,4,2/10/22,3/15/22,2/13/22,3/15/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2021206,126 Shinn Cir,Closed,"$382,000 ","$345,000 ","$345,000 ",,7,7,4/12/22,5/9/22,4/16/22,5/9/22,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2020686,2702 Burnley Rd,Closed,"$382,000 ","$350,000 ","$350,000 ",,4,4,4/1/22,5/11/22,4/5/22,5/11/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019126,105 Yearsley Dr,Closed,"$383,000 ","$359,900 ","$359,900 ",,5,5,3/10/22,4/29/22,3/14/22,4/29/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019964,2632 Whitman Dr,Closed,"$384,900 ","$384,900 ","$384,900 ",,6,6,3/21/22,5/6/22,3/24/22,5/6/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019450,5459 Doral Dr,Closed,"$385,000 ","$345,000 ","$385,000 ","$345,000 ",4,4,3/18/22,4/27/22,3/21/22,4/27/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2012328,2500 Lindell Rd,Closed,"$385,000 ","$362,000 ","$362,000 ",,4,4,12/18/21,2/2/22,12/21/21,1/31/22,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2010356,2214 Saint Francis St,Closed,"$385,000 ","$393,000 ","$393,000 ",,20,20,11/9/21,2/1/22,11/26/21,1/31/22,No,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2007658,5 Mason Ct,Closed,"$385,000 ","$374,900 ","$374,900 ",,3,3,9/22/21,11/10/21,9/24/21,11/10/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC526598,116 Monet Cir,Closed,"$385,000 ","$369,000 ","$369,000 ",,12,12,6/3/21,7/16/21,6/11/21,7/16/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC525496,26 Sharons Way,Closed,"$385,000 ","$350,000 ","$350,000 ",,6,6,4/29/21,6/5/21,5/4/21,6/4/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522396,11 Hobner Ct,Closed,"$386,000 ","$350,000 ","$350,000 ",,6,6,4/15/21,6/2/21,4/19/21,6/2/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2016510,23 Falcon Ct,Closed,"$386,100 ","$360,000 ","$360,000 ",,8,8,2/1/22,3/4/22,2/7/22,2/28/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2010302,10 Kenleigh Ct,Closed,"$387,000 ","$385,000 ","$387,000 ","$385,000 ",5,5,11/11/21,1/3/22,11/15/21,1/3/22,Yes,,"$11,500 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2018974,2615 Pecksniff Rd,Closed,"$388,000 ","$359,900 ","$388,000 ","$359,900 ",4,4,3/11/22,5/17/22,3/14/22,5/17/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC527264,3110 Loudoun Dr,Closed,"$389,000 ","$385,000 ","$385,000 ",,4,4,5/23/21,8/20/21,5/26/21,8/19/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000267,409 McKennans Church Rd,Closed,"$390,000 ","$374,900 ","$374,900 ",,7,7,10/7/21,12/20/21,10/13/21,12/20/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000826,104 Whitekirk Dr,Closed,"$390,000 ","$383,000 ","$383,000 ",,16,16,6/23/21,8/2/21,7/6/21,7/30/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2008432,12 Kenleigh Court,Closed,"$393,500 ","$385,000 ","$385,000 ",,5,5,10/2/21,11/9/21,10/6/21,11/8/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2002412,126 Victoria Falls Ln,Closed,"$395,000 ","$395,000 ","$395,000 ",,1,1,7/13/21,7/14/21,7/13/21,7/13/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2002224,2513 Grendon Dr,Closed,"$395,000 ","$375,000 ","$375,000 ",,7,7,7/14/21,8/26/21,7/20/21,8/26/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC525604,8 Daylilly Ct,Closed,"$395,000 ","$395,000 ","$395,000 ",,8,8,5/4/21,6/17/21,5/10/21,6/15/21,No,,,"FHA,VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2011590,134 Victoria Falls Ln,Closed,"$399,000 ","$380,000 ","$380,000 ",,5,5,1/3/22,2/25/22,1/6/22,2/25/22,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2004464,4 Saint Thomas Ct,Closed,"$399,000 ","$399,000 ","$389,000 ","$399,000 ",14,14,8/7/21,9/30/21,8/20/21,9/30/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2015228,2834 W Oakland Dr,Closed,"$399,900 ","$369,000 ","$399,900 ","$369,000 ",3,3,1/19/22,2/25/22,1/21/22,2/24/22,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2007722,8 Coffee Run Ln,Closed,"$399,900 ","$399,900 ","$399,900 ",,5,5,9/24/21,11/17/21,9/28/21,11/17/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2001256,508 Milltown Rd,Closed,"$399,900 ","$449,900 ","$399,900 ","$425,000 ",27,27,6/30/21,9/1/21,7/26/21,8/30/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019104,5009 The Pines Blvd,Closed,"$400,000 ","$389,000 ","$389,000 ",,3,3,3/11/22,4/27/22,3/13/22,4/26/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2014424,4819 Pennington Ct,Closed,"$400,000 ","$399,900 ","$399,900 ",,5,5,1/14/22,2/25/22,1/17/22,2/25/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2010728,5108 New Kent Rd,Closed,"$400,000 ","$378,000 ","$378,000 ",,5,5,11/18/21,1/7/22,11/22/21,1/7/22,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2009216,5217 New Kent Rd,Closed,"$400,000 ","$350,000 ","$400,000 ","$350,000 ",6,6,10/28/21,12/1/21,11/1/21,12/1/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2005328,8 Hialeah Ct,Closed,"$400,000 ","$400,000 ","$400,000 ",,11,11,8/21/21,9/27/21,8/30/21,9/24/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2004624,5125 New Kent Rd,Closed,"$400,000 ","$369,900 ","$369,900 ",,4,4,8/27/21,9/30/21,8/30/21,9/30/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522180,253 Steeplechase Cir,Closed,"$400,000 ","$389,900 ","$389,900 ",,2,2,7/24/21,9/2/21,7/25/21,9/1/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC528112,218 Steeplechase Cir,Closed,"$400,000 ","$399,900 ","$399,900 ",,7,7,6/3/21,7/30/21,6/9/21,7/30/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC525250,25 Woodward Dr,Closed,"$400,000 ","$435,000 ","$400,000 ","$422,000 ",12,12,4/24/21,6/11/21,5/7/21,6/11/21,Yes,Seller Credit,"$5,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523596,21 Falcon Ct,Closed,"$400,000 ","$385,000 ","$385,000 ",,17,17,4/1/21,6/7/21,4/18/21,6/7/21,Yes,,"$20,000 ",VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2006660,127 Falcon Ln,Closed,"$402,000 ","$449,900 ","$400,000 ","$449,900 ",18,18,9/15/21,12/12/21,10/8/21,12/9/21,Yes,Settlement Help,"$12,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2021952,2520 Alister Dr,Closed,"$405,000 ","$375,000 ","$375,000 ",,6,6,4/21/22,5/24/22,4/24/22,5/24/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2012756,109 Yearsley Drive,Closed,"$405,000 ","$374,900 ","$374,900 ",,4,4,12/16/21,1/11/22,12/19/21,1/11/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC525026,2611 Sherwood Dr,Closed,"$405,000 ","$385,000 ","$415,100 ","$385,000 ",4,4,4/23/21,6/4/21,4/26/21,6/4/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2007316,601 Beaver Falls Pl,Closed,"$406,000 ","$398,500 ","$398,500 ",,5,5,9/16/21,11/1/21,9/18/21,11/1/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2007254,7 Paisley Dr,Closed,"$406,250 ","$374,999 ","$374,999 ",,5,10,9/16/21,11/4/21,9/18/21,11/1/21,Yes,,"$16,250 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2018192,521 Southhampton Ln,Closed,"$410,000 ","$389,900 ","$410,000 ","$389,900 ",2,2,3/3/22,3/25/22,3/4/22,3/25/22,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC524220,18 Ault Ct,Closed,"$410,000 ","$389,900 ","$415,000 ","$389,900 ",5,5,4/22/21,6/25/21,4/26/21,6/25/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2015244,323 Regis Falls Ave,Closed,"$411,000 ","$399,900 ","$399,900 ",,3,3,2/10/22,3/3/22,2/12/22,2/28/22,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2015972,1001 Elderon Dr,Closed,"$416,000 ","$390,000 ","$390,000 ",,5,5,1/27/22,2/23/22,1/31/22,2/23/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2006634,15 Lyells Ct,Closed,"$416,000 ","$385,000 ","$385,000 ",,5,5,9/16/21,10/15/21,9/20/21,10/15/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC528580,2409 E Parris Dr,Closed,"$418,180 ","$384,900 ","$384,900 ",,2,2,6/10/21,7/30/21,6/11/21,7/30/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2020030,611 Cranhill Dr,Closed,"$420,000 ","$409,000 ","$409,000 ",,4,4,4/1/22,4/29/22,4/4/22,4/29/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2017860,1108 Arundel Dr,Closed,"$420,000 ","$399,900 ","$399,900 ",,5,5,2/17/22,4/1/22,2/20/22,3/29/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000333,900 Constance Dr,Closed,"$420,000 ","$420,000 ","$420,000 ",,4,4,10/11/21,11/29/21,10/13/21,11/29/21,Yes,,"$3,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2021660,2625 Sherwood Dr,Closed,"$425,000 ","$375,000 ","$375,000 ",,3,3,4/21/22,5/26/22,4/23/22,5/26/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019514,102 Berry Dr,Closed,"$425,000 ","$399,900 ","$399,900 ",,16,16,3/14/22,5/13/22,3/29/22,5/12/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2001702,261 Steeplechase Cir,Closed,"$425,000 ","$392,500 ","$425,000 ","$392,500 ",7,7,7/6/21,8/17/21,7/9/21,8/9/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019190,441 Greenwood Dr,Closed,"$429,900 ","$429,900 ","$429,900 ",,9,9,3/8/22,4/27/22,3/12/22,4/25/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2014498,1120 Elderon Dr,Closed,"$433,000 ","$389,900 ","$389,900 ",,5,5,1/14/22,2/17/22,1/17/22,2/17/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019800,2304 Saint Francis St,Closed,"$435,000 ","$415,000 ","$415,000 ",,13,13,3/17/22,4/28/22,4/3/22,4/28/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2005800,315 Mitchell Drive,Closed,"$436,000 ","$424,900 ","$424,900 ",,6,6,8/26/21,11/16/21,8/30/21,11/15/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2000099,100 McKennans Church Rd,Closed,"$437,500 ","$459,000 ","$439,000 ","$454,000 ",66,66,10/6/21,2/1/22,11/2/21,1/28/22,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2022620,303 Washington Ave,Closed,"$440,000 ","$449,900 ","$449,900 ",,2,14,4/30/22,5/26/22,5/1/22,5/26/22,Yes,towards closing costs,"$3,774 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC2019840,3333 Skyline Dr,Closed,"$440,000 ","$419,900 ","$419,900 ",,4,4,3/18/22,4/21/22,3/21/22,4/21/22,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
