MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC518086,5.0,330000.0,12,2020,19808,Red Clay Consolidated,2151,0.26,Sherwood Park Ii,Mill Creek Hundred,119,True,12600,52600,Residential,1958,4.0,2.0,Yes,Yes,2099.0,0.0,No,Yes,Yes,1958.0,FeeSimple,Detached,2099.0,"Main,Upper1",Less than 2 months
DENC518982,47.0,215500.0,1,2021,19808,Red Clay Consolidated,1824,0.06,Pepper Ridge,Mill Creek Hundred,81,False,9900,45400,Residential,1976,3.0,2.0,Yes,No,1575.0,352.0,No,Yes,No,1976.0,FeeSimple,Interior Row/Townhouse,1927.0,"Main,Upper1",Less than 2 months
DENC512992,15.0,200000.0,12,2020,19808,Red Clay Consolidated,1563,0.05,Woodmill,Mill Creek Hundred,363,False,9400,38000,Residential,1985,2.0,2.0,Yes,No,1150.0,0.0,No,Yes,No,1985.0,FeeSimple,Interior Row/Townhouse,1150.0,"Main,Upper1",Less than 2 months
DENC512104,11.0,219900.0,10,2020,19808,Red Clay Consolidated,2174,0.05,Fairway Falls,Mill Creek Hundred,376,True,8600,57300,Residential,1985,2.0,3.0,Yes,Yes,1425.0,0.0,No,Yes,Yes,1985.0,FeeSimple,Interior Row/Townhouse,1425.0,"Main,Upper1",Less than 2 months
DENC503480,3.0,190000.0,6,2020,19808,Red Clay Consolidated,1349,0.17,Washington Hgts,Christiana Hundred,71,True,8600,32300,Residential,1957,3.0,2.0,Yes,No,925.0,0.0,No,Yes,No,1957.0,FeeSimple,Detached,925.0,Main,Less than 2 months
DENC501458,23.0,199000.0,5,2020,19808,Red Clay Consolidated,1240,0.07,Cranston Heights,Christiana Hundred,12,True,5000,32600,Residential,1932,3.0,2.0,Yes,Yes,1225.0,0.0,No,No,No,1932.0,FeeSimple,Detached,1225.0,"Lower1,Main,Upper1",Less than 2 months
DENC495076,1.0,229900.0,2,2020,19808,Red Clay Consolidated,2856,0.21,Cedarcrest,Mill Creek Hundred,202,False,11500,75100,Residential,1964,3.0,2.0,Yes,Yes,1550.0,0.0,No,Yes,No,1964.0,FeeSimple,Detached,1550.0,"Lower1,Main",Less than 2 months
DENC506356,5.0,195000.0,8,2020,19808,Red Clay Consolidated,1168,0.14,Washington Hgts,Christiana Hundred,50,True,8200,27200,Residential,1954,4.0,3.0,Yes,Yes,0.0,0.0,No,No,No,1954.0,FeeSimple,Detached,0.0,"Lower1,Main,Upper1",Less than 2 months
DENC524092,5.0,190000.0,4,2021,19808,Red Clay Consolidated,2200,0.0,Birch Pointe,Mill Creek Hundred,122.C.0113,True,10000,56700,Residential,1985,2.0,2.0,No,No,0.0,0.0,Yes,Yes,No,1985.0,Condominium,Penthouse Unit/Flat/Apartment,0.0,"Main,Upper1",Less than 2 months
DENC523094,1.0,199875.0,3,2021,19808,Red Clay Consolidated,1880,0.04,Pepper Ridge,Mill Creek Hundred,246,True,9100,47900,Residential,1976,2.0,3.0,Yes,No,1575.0,400.0,No,Yes,No,1979.0,FeeSimple,Interior Row/Townhouse,1975.0,"Lower1,Main,Upper1",Less than 2 months
DENC501750,47.0,214900.0,5,2020,19808,Red Clay Consolidated,2302,0.06,Fairway Falls,Mill Creek Hundred,380,True,9300,60500,Residential,1986,2.0,3.0,Yes,No,1609.0,266.0,No,Yes,Yes,1986.0,FeeSimple,Interior Row/Townhouse,1875.0,"Main,Upper1",Less than 2 months
DENC505216,7.0,205900.0,7,2020,19808,Red Clay Consolidated,1349,0.2,Brookland Terrace,Christiana Hundred,411,True,7600,33300,Residential,1940,3.0,1.0,Yes,Yes,1100.0,576.0,No,No,No,1946.0,FeeSimple,Detached,1676.0,Main,Less than 2 months
DENC500680,8.0,211900.0,5,2020,19808,Red Clay Consolidated,1204,0.14,Cranston Heights,Christiana Hundred,65,True,7000,29500,Residential,1930,4.0,2.0,Yes,No,1550.0,0.0,No,Yes,No,1930.0,FeeSimple,Detached,1550.0,"Main,Upper1",Less than 2 months
DENC521992,6.0,200000.0,3,2021,19808,Red Clay Consolidated,1725,0.05,Woodmill,Mill Creek Hundred,275,True,9400,42900,Residential,1985,2.0,2.0,Yes,Yes,1125.0,0.0,No,Yes,Yes,1985.0,FeeSimple,Interior Row/Townhouse,1125.0,"Main,Upper1",Less than 2 months
DENC523212,7.0,197900.0,3,2021,19808,Red Clay Consolidated,2164,0.0,Birch Pointe,Mill Creek Hundred,035.C.0090,True,9800,55800,Residential,2008,2.0,2.0,No,No,0.0,0.0,Yes,Yes,No,2008.0,FeeSimple,Unit/Flat/Apartment,0.0,"Main,Upper1",Less than 2 months
DENC512816,44.0,224900.0,11,2020,19808,Red Clay Consolidated,1873,0.05,Pepper Ridge,Mill Creek Hundred,210,False,9300,47500,Residential,1976,3.0,2.0,Yes,No,1225.0,0.0,No,Yes,Yes,1976.0,FeeSimple,Interior Row/Townhouse,1225.0,"Lower1,Main,Upper1",Less than 2 months
DENC510414,28.0,214900.0,10,2020,19808,Red Clay Consolidated,3575,0.0,Berkshire,Mill Creek Hundred,065.C.0005,True,16100,92300,Residential,1990,3.0,3.0,No,Yes,2580.0,0.0,Yes,Yes,No,1990.0,Condominium,Interior Row/Townhouse,2580.0,"Lower1,Main",Less than 2 months
DENC517606,12.0,210000.0,12,2020,19808,Red Clay Consolidated,1821,0.07,Woodmill,Mill Creek Hundred,228,True,10200,45000,Residential,1986,2.0,2.0,Yes,Yes,1125.0,560.0,No,Yes,No,1986.0,FeeSimple,Interior Row/Townhouse,1685.0,"Main,Upper1,Upper2",Less than 2 months
DENC508042,64.0,224900.0,8,2020,19808,Red Clay Consolidated,1824,0.06,Pepper Ridge,Mill Creek Hundred,82,True,9900,45400,Residential,1976,3.0,2.0,Yes,No,1575.0,704.0,No,Yes,No,1976.0,FeeSimple,Interior Row/Townhouse,2279.0,"Main,Upper1",More than 2 months
DENC500644,4.0,214900.0,5,2020,19808,Red Clay Consolidated,1633,0.06,Woodmill,Mill Creek Hundred,524,True,10000,39500,Residential,1985,2.0,2.0,Yes,Yes,1150.0,0.0,No,Yes,No,1985.0,FeeSimple,Interior Row/Townhouse,1150.0,"Main,Upper1",Less than 2 months
DENC522324,7.0,210000.0,3,2021,19808,Red Clay Consolidated,1563,0.05,Woodmill,Mill Creek Hundred,342,True,9400,38000,Residential,1984,2.0,2.0,Yes,No,1150.0,0.0,No,Yes,Yes,1984.0,FeeSimple,Interior Row/Townhouse,1150.0,"Main,Upper1",Less than 2 months
DENC519198,3.0,212900.0,1,2021,19808,Red Clay Consolidated,1936,0.09,Pepper Ridge,Mill Creek Hundred,191,False,10100,48600,Residential,1978,3.0,3.0,Yes,No,1525.0,304.0,No,Yes,No,1978.0,FeeSimple,Interior Row/Townhouse,1829.0,"Lower1,Main,Upper1",Less than 2 months
DENC507636,4.0,219000.0,8,2020,19808,Red Clay Consolidated,2118,0.11,Linden Hill Square,Mill Creek Hundred,52,True,10300,53900,Residential,1981,3.0,2.0,Yes,No,1825.0,527.0,No,Yes,Yes,1981.0,FeeSimple,End of Row/Townhouse,2352.0,"Main,Upper1",Less than 2 months
DENC509542,3.0,210000.0,10,2020,19808,Red Clay Consolidated,1906,0.04,Linden Hill Square,Mill Creek Hundred,48,True,8500,49300,Residential,1981,3.0,2.0,Yes,No,1225.0,350.0,No,Yes,Yes,1981.0,FeeSimple,Interior Row/Townhouse,1575.0,"Lower1,Main,Upper1",Less than 2 months
DENC505724,26.0,219900.0,7,2020,19808,Red Clay Consolidated,3615,0.0,Berkshire,Mill Creek Hundred,065.C.0026,True,16400,93200,Residential,1990,3.0,3.0,No,Yes,0.0,0.0,Yes,Yes,No,1990.0,FeeSimple,Interior Row/Townhouse,0.0,"Main,Upper1",Less than 2 months
DENC505084,29.0,219900.0,7,2020,19808,Red Clay Consolidated,2553,0.36,Eastburn Heights,Mill Creek Hundred,172,True,10400,67000,Residential,1981,4.0,2.0,No,Yes,1225.0,0.0,No,No,No,1981.0,FeeSimple,Detached,1225.0,"Main,Upper1",Less than 2 months
DENC523372,6.0,209900.0,3,2021,19808,Red Clay Consolidated,1956,0.05,Pepper Ridge,Mill Creek Hundred,55,False,9700,49600,Residential,1978,2.0,2.0,Yes,No,1575.0,352.0,No,Yes,No,1978.0,FeeSimple,Interior Row/Townhouse,1927.0,"Lower1,Main,Upper1",Less than 2 months
DENC520810,7.0,220000.0,2,2021,19808,Red Clay Consolidated,1807,0.08,Woodmill,Mill Creek Hundred,365,True,10400,44400,Residential,1985,3.0,4.0,Yes,No,1350.0,0.0,No,Yes,No,1985.0,FeeSimple,End of Row/Townhouse,1350.0,"Lower1,Lower2,Main,Upper1,Upper2",Less than 2 months
DENC499486,13.0,230000.0,4,2020,19808,Red Clay Consolidated,3836,0.0,Berkshire,Mill Creek Hundred,065.C.0010,True,17300,99000,Residential,1990,3.0,2.0,No,Yes,0.0,0.0,Yes,Yes,No,1990.0,Condominium,End of Row/Townhouse,0.0,"Main,Upper1",Less than 2 months
DENC511264,12.0,234900.0,10,2020,19808,Red Clay Consolidated,2236,0.05,Fairway Falls,Mill Creek Hundred,353,True,8600,59200,Residential,1984,2.0,3.0,Yes,Yes,1450.0,0.0,No,Yes,Yes,1984.0,FeeSimple,Interior Row/Townhouse,1450.0,"Lower1,Main,Upper1",Less than 2 months
DENC502798,31.0,229900.0,6,2020,19808,Red Clay Consolidated,3638,0.0,Berkshire,Mill Creek Hundred,065.C.0008,True,16400,93900,Residential,1990,3.0,2.0,No,Yes,0.0,0.0,Yes,Yes,No,1990.0,Condominium,Interior Row/Townhouse,0.0,"Main,Upper1",Less than 2 months
DENC521912,6.0,225000.0,3,2021,19808,Red Clay Consolidated,1471,0.15,Dunlinden Acres,Mill Creek Hundred,24,True,7800,36800,Residential,1952,3.0,2.0,No,No,1250.0,0.0,No,No,No,1952.0,FeeSimple,Detached,1250.0,Main,Less than 2 months
DENC503534,4.0,225000.0,6,2020,19808,Red Clay Consolidated,2151,0.08,Fairway Falls,Mill Creek Hundred,198,False,10600,54600,Residential,1979,3.0,2.0,Yes,No,1575.0,1008.0,No,Yes,Yes,1979.0,FeeSimple,Interior Row/Townhouse,2583.0,"Main,Upper1",Less than 2 months
DENC501980,2.0,225000.0,5,2020,19808,Red Clay Consolidated,2038,0.24,Limestone Acres,Mill Creek Hundred,120,True,11000,50800,Residential,1954,4.0,2.0,Yes,Yes,1625.0,0.0,No,No,No,1954.0,FeeSimple,Detached,1625.0,"Lower1,Main",Less than 2 months
DENC501462,38.0,239000.0,5,2020,19808,Red Clay Consolidated,1227,0.07,Cooper Farms,Mill Creek Hundred,101,False,7000,30200,Residential,1900,3.0,2.0,Yes,No,1550.0,0.0,No,Yes,No,1900.0,FeeSimple,Detached,1550.0,"Lower1,Main,Upper1",Less than 2 months
DENC507686,11.0,224900.0,8,2020,19808,Red Clay Consolidated,1286,0.14,Dunlinden Acres,Mill Creek Hundred,362,True,7600,31400,Residential,1954,3.0,1.0,No,No,1075.0,0.0,No,Yes,No,1954.0,FeeSimple,Detached,1075.0,Main,Less than 2 months
DENC508130,27.0,225000.0,9,2020,19808,Red Clay Consolidated,3813,0.0,Berkshire,Mill Creek Hundred,065.C.0116,True,17300,98300,Residential,1993,2.0,2.0,No,Yes,0.0,0.0,Yes,Yes,Yes,1993.0,FeeSimple,End of Row/Townhouse,0.0,"Main,Upper1,Upper2",Less than 2 months
DENC507822,46.0,239900.0,9,2020,19808,Red Clay Consolidated,1405,0.16,Dunlinden Acres,Mill Creek Hundred,352,True,7900,34700,Residential,1954,3.0,1.0,No,No,1075.0,0.0,No,Yes,No,1954.0,FeeSimple,Detached,1075.0,"Main,Upper1",Less than 2 months
DENC520716,3.0,225000.0,2,2021,19808,Red Clay Consolidated,2279,0.05,Fairway Falls,Mill Creek Hundred,346,False,9000,60100,Residential,1984,2.0,3.0,Yes,Yes,1450.0,0.0,No,Yes,Yes,1984.0,FeeSimple,Interior Row/Townhouse,1450.0,"Lower1,Main,Upper1",Less than 2 months
DENC512480,20.0,238000.0,11,2020,19808,Red Clay Consolidated,2160,0.07,Fairway Falls,Mill Creek Hundred,217,True,9900,55600,Residential,1979,3.0,2.0,Yes,Yes,1550.0,0.0,No,Yes,No,1979.0,FeeSimple,Interior Row/Townhouse,1550.0,Main,Less than 2 months
DENC497602,83.0,244900.0,3,2020,19808,Red Clay Consolidated,2315,0.06,Plum Run,Mill Creek Hundred,152,True,16600,53600,Residential,1982,3.0,3.0,Yes,No,1625.0,0.0,No,Yes,No,1982.0,FeeSimple,Interior Row/Townhouse,1625.0,"Main,Upper1",More than 2 months
DENC511338,0.0,229000.0,11,2020,19808,Red Clay Consolidated,2378,0.12,Fairway Falls,Mill Creek Hundred,119,True,10600,61500,Residential,1986,2.0,3.0,Yes,No,1825.0,0.0,No,Yes,Yes,1986.0,FeeSimple,End of Row/Townhouse,1825.0,"Main,Upper1",Less than 2 months
DENC510466,7.0,219900.0,10,2020,19808,Red Clay Consolidated,1742,0.11,Marshallton Height,Mill Creek Hundred,143,True,7200,45600,Residential,1940,3.0,2.0,Yes,Yes,1450.0,0.0,No,No,No,1940.0,FeeSimple,Detached,1450.0,"Main,Upper1",Less than 2 months
DENC524506,5.0,214900.0,4,2021,19808,Red Clay Consolidated,1629,0.08,Woodmill,Mill Creek Hundred,357,False,10400,39000,Residential,1985,3.0,3.0,Yes,No,1400.0,0.0,No,Yes,No,1985.0,FeeSimple,End of Row/Townhouse,1400.0,"Lower1,Main,Upper1",Less than 2 months
DENC523362,4.0,224900.0,3,2021,19808,Red Clay Consolidated,1296,0.17,Dunlinden Acres,Mill Creek Hundred,70,True,7100,32200,Residential,1950,3.0,1.0,No,No,1075.0,0.0,No,Yes,No,1950.0,FeeSimple,Detached,1075.0,Main,Less than 2 months
DENC521672,1.0,230000.0,2,2021,19808,Red Clay Consolidated,1333,0.15,Kirkwood Gardens,Mill Creek Hundred,82,True,7800,32600,Residential,1957,3.0,1.0,No,No,925.0,0.0,No,Yes,No,1957.0,FeeSimple,Detached,925.0,Main,Less than 2 months
DENC509908,7.0,235000.0,9,2020,19808,Red Clay Consolidated,1781,0.15,Faulkland Heights,Christiana Hundred,134,True,10400,43600,Residential,1960,3.0,2.0,Yes,Yes,1025.0,0.0,No,Yes,No,1960.0,FeeSimple,Detached,1025.0,"Lower1,Main",Less than 2 months
DENC520624,6.0,224900.0,2,2021,19808,Red Clay Consolidated,2075,0.13,Woodmill,Mill Creek Hundred,381,True,11300,51600,Residential,1984,3.0,3.0,Yes,No,1325.0,0.0,No,Yes,No,1984.0,FeeSimple,End of Row/Townhouse,1325.0,Main,Less than 2 months
DENC522354,5.0,225000.0,3,2021,19808,Red Clay Consolidated,1253,0.15,Dunlinden Acres,Mill Creek Hundred,28,True,7800,30200,Residential,1952,3.0,1.0,No,No,1125.0,0.0,No,Yes,No,1952.0,FeeSimple,Detached,1125.0,Main,Less than 2 months
DENC518048,5.0,229900.0,12,2020,19808,Red Clay Consolidated,1679,0.46,Klair Estates,Mill Creek Hundred,228,True,13400,37500,Residential,1959,3.0,2.0,Yes,No,1800.0,600.0,No,Yes,No,1959.0,FeeSimple,Detached,2400.0,"Lower1,Main",Less than 2 months
DENC513006,45.0,239500.0,11,2020,19808,Red Clay Consolidated,1227,0.17,Kirkwood Gardens,Mill Creek Hundred,68,True,7100,30100,Residential,1957,3.0,2.0,No,No,1100.0,0.0,No,No,No,1957.0,FeeSimple,Detached,1100.0,Main,Less than 2 months
DENC508044,3.0,225000.0,8,2020,19808,Red Clay Consolidated,1751,0.58,Eastburn Heights,Mill Creek Hundred,19,True,10800,42300,Residential,1937,3.0,2.0,Yes,Yes,1700.0,0.0,No,Yes,No,1937.0,FeeSimple,Detached,1700.0,Main,Less than 2 months
DENC510684,2.0,225000.0,10,2020,19808,Red Clay Consolidated,2183,0.05,Fairway Falls,Mill Creek Hundred,362,True,8600,57600,Residential,1984,2.0,3.0,Yes,No,1700.0,336.0,No,Yes,Yes,1984.0,FeeSimple,Interior Row/Townhouse,2036.0,"Main,Upper1",Less than 2 months
DENC520348,12.0,239000.0,2,2021,19808,Red Clay Consolidated,2243,0.05,Fairway Falls,Mill Creek Hundred,78,True,9000,59000,Residential,1984,2.0,2.0,Yes,Yes,1450.0,0.0,No,Yes,Yes,1984.0,FeeSimple,Interior Row/Townhouse,1450.0,"Lower1,Main,Upper1",Less than 2 months
DENC500064,24.0,255000.0,4,2020,19808,Red Clay Consolidated,2230,0.24,Cedarcrest,Mill Creek Hundred,210,False,11700,55900,Residential,1964,4.0,2.0,Yes,Yes,1650.0,1000.0,No,Yes,No,1964.0,FeeSimple,Detached,2650.0,"Lower1,Main",Less than 2 months
DENC498974,22.0,230000.0,3,2020,19808,Red Clay Consolidated,1702,0.15,Faulkland Heights,Christiana Hundred,138,True,10400,41200,Residential,1960,3.0,1.0,Yes,No,1025.0,0.0,No,Yes,No,1960.0,FeeSimple,Detached,1025.0,Main,Less than 2 months
DENC517252,4.0,215000.0,11,2020,19808,Red Clay Consolidated,1735,0.32,Klair Estates,Mill Creek Hundred,95,True,11800,40800,Residential,1956,3.0,2.0,Yes,Yes,1825.0,606.0,No,Yes,No,1956.0,FeeSimple,Detached,2431.0,"Lower1,Main,Upper1",Less than 2 months
DENC523606,6.0,234000.0,4,2021,19808,Red Clay Consolidated,2174,0.05,Fairway Falls,Mill Creek Hundred,375,True,8600,57300,Residential,1985,2.0,3.0,Yes,Yes,1425.0,0.0,No,Yes,Yes,1985.0,FeeSimple,Interior Row/Townhouse,1425.0,"Main,Upper1",Less than 2 months
DENC522204,20.0,239900.0,3,2021,19808,Red Clay Consolidated,1926,0.0,Linden Green,Mill Creek Hundred,033.C.0006,True,6800,51600,Residential,1973,4.0,4.0,Yes,No,2200.0,0.0,Yes,Yes,No,1973.0,Other,Interior Row/Townhouse,2200.0,"Lower1,Main,Upper1",Less than 2 months
DENC520338,7.0,239000.0,2,2021,19808,Red Clay Consolidated,1831,0.23,Penndrew Manor,Mill Creek Hundred,121,True,12300,43200,Residential,1960,3.0,2.0,Yes,No,1650.0,548.0,No,Yes,No,1960.0,FeeSimple,Detached,2198.0,"Lower1,Main",Less than 2 months
DENC523950,1.0,235000.0,4,2021,19808,Red Clay Consolidated,2728,0.06,Weatherhill Farms,Mill Creek Hundred,71,False,23600,59100,Residential,1987,2.0,3.0,Yes,No,1476.0,350.0,No,Yes,No,1987.0,FeeSimple,Interior Row/Townhouse,1826.0,"Main,Upper1",Less than 2 months
DENC518792,5.0,185000.0,1,2021,19808,Red Clay Consolidated,2306,0.11,Fairway Falls,Mill Creek Hundred,408,True,10500,59400,Residential,1983,3.0,3.0,Yes,No,2500.0,810.0,No,Yes,Yes,1983.0,FeeSimple,Interior Row/Townhouse,3310.0,"Main,Upper1,Upper2",Less than 2 months
DENC518678,3.0,235000.0,12,2020,19808,Red Clay Consolidated,1883,0.32,Eastburn Heights,Mill Creek Hundred,86,True,11100,46000,Residential,1950,3.0,1.0,Yes,Yes,1450.0,0.0,No,No,No,1950.0,FeeSimple,Detached,1450.0,Main,Less than 2 months
DENC509076,1.0,235000.0,9,2020,19808,Red Clay Consolidated,2335,0.22,Heritage Park,Mill Creek Hundred,19,False,14300,56500,Residential,1961,4.0,2.0,Yes,Yes,1725.0,0.0,No,Yes,Yes,1961.0,FeeSimple,Detached,1725.0,Main,Less than 2 months
DENC503958,12.0,250000.0,6,2020,19808,Red Clay Consolidated,2035,0.17,Albertson Park,Christiana Hundred,87,True,11200,50500,Residential,1961,3.0,2.0,Yes,Yes,1600.0,480.0,No,Yes,No,1961.0,FeeSimple,Detached,2080.0,"Lower1,Main,Upper1",Less than 2 months
DENC501174,17.0,234900.0,5,2020,19808,Red Clay Consolidated,1527,0.24,Dunlinden Acres,Mill Creek Hundred,397,False,8300,38000,Residential,1953,3.0,2.0,No,No,0.0,0.0,No,Yes,No,1960.0,FeeSimple,Detached,0.0,Main,Less than 2 months
DENC517408,7.0,247900.0,11,2020,19808,Red Clay Consolidated,2573,0.04,Weatherhill Farms,Mill Creek Hundred,148,False,20000,58000,Residential,1986,2.0,3.0,Yes,No,1600.0,0.0,No,Yes,Yes,1986.0,FeeSimple,Interior Row/Townhouse,1600.0,"Lower1,Main,Upper1",Less than 2 months
DENC505992,14.0,250000.0,7,2020,19808,Red Clay Consolidated,2025,0.19,Montclare,Mill Creek Hundred,84,True,12100,49300,Residential,1966,3.0,2.0,Yes,Yes,1875.0,618.0,No,Yes,No,1966.0,FeeSimple,Detached,2493.0,"Lower1,Main",Less than 2 months
DENC502848,4.0,239900.0,6,2020,19808,Red Clay Consolidated,2098,0.11,Pepper Ridge,Mill Creek Hundred,97,False,10500,53100,Residential,1976,3.0,2.0,Yes,Yes,0.0,0.0,No,Yes,Yes,1976.0,FeeSimple,End of Row/Townhouse,0.0,"Main,Upper1",Less than 2 months
DENC517542,3.0,239900.0,12,2020,19808,Red Clay Consolidated,1672,0.15,Klair Estates,Mill Creek Hundred,211,True,10500,40200,Residential,1959,3.0,2.0,Yes,No,1700.0,570.0,No,Yes,No,1959.0,FeeSimple,Detached,2270.0,"Lower1,Main",Less than 2 months
DENC512400,15.0,265000.0,11,2020,19808,Red Clay Consolidated,2309,0.06,Fairway Falls,Mill Creek Hundred,99,True,9300,60700,Residential,1986,2.0,3.0,Yes,Yes,1850.0,504.0,No,Yes,No,1986.0,FeeSimple,Interior Row/Townhouse,2354.0,"Lower1,Main,Upper1",Less than 2 months
DENC508204,3.0,235000.0,8,2020,19808,Red Clay Consolidated,551,0.18,Marshallton Height,Mill Creek Hundred,203,True,8000,40700,Residential,1977,3.0,2.0,Yes,Yes,1125.0,0.0,No,Yes,No,1977.0,FeeSimple,Detached,1125.0,"Lower1,Main",Less than 2 months
DENC502158,3.0,240000.0,5,2020,19808,Red Clay Consolidated,1603,0.14,Capital Tr Fms,Mill Creek Hundred,8,True,6300,42300,Residential,1962,3.0,2.0,Yes,No,1125.0,300.0,No,Yes,No,1962.0,FeeSimple,Detached,1425.0,"Lower1,Main,Upper1",Less than 2 months
DENC508476,7.0,234900.0,9,2020,19808,Red Clay Consolidated,2197,0.07,Fairway Falls,Mill Creek Hundred,206,True,10400,56200,Residential,1980,3.0,3.0,Yes,No,1575.0,250.0,No,Yes,Yes,1980.0,FeeSimple,Interior Row/Townhouse,1825.0,"Lower1,Lower2,Main,Upper1",Less than 2 months
DENC523874,5.0,229900.0,4,2021,19808,Red Clay Consolidated,1530,0.24,Dunlinden Acres,Mill Creek Hundred,413,True,8300,38100,Residential,1954,4.0,2.0,No,Yes,1500.0,0.0,No,Yes,No,1954.0,FeeSimple,Detached,1500.0,"Main,Upper1",Less than 2 months
DENC517754,3.0,239900.0,12,2020,19808,Red Clay Consolidated,2642,0.05,Weatherhill Farms,Mill Creek Hundred,184,False,22100,58000,Residential,1988,2.0,3.0,Yes,Yes,1650.0,184.0,No,Yes,No,1988.0,FeeSimple,Interior Row/Townhouse,1834.0,"Main,Upper1",Less than 2 months
DENC499872,37.0,249900.0,4,2020,19808,Red Clay Consolidated,1880,0.23,Delpark Manor,Mill Creek Hundred,78,True,11100,45900,Residential,1958,3.0,2.0,Yes,Yes,1425.0,273.0,No,No,No,1958.0,FeeSimple,Detached,1698.0,"Main,Upper1,Upper2",Less than 2 months
DENC505060,13.0,249900.0,7,2020,19808,Red Clay Consolidated,2121,0.16,Village Of Lindell,Mill Creek Hundred,301,True,15700,48600,Residential,1985,3.0,2.0,No,No,1500.0,0.0,No,Yes,No,1985.0,FeeSimple,Detached,1500.0,"Main,Upper1",Less than 2 months
DENC523916,2.0,234900.0,4,2021,19808,Red Clay Consolidated,2329,0.05,Fairway Falls,Mill Creek Hundred,390,False,8600,62000,Residential,1985,2.0,3.0,Yes,No,1900.0,0.0,No,Yes,Yes,1985.0,FeeSimple,Interior Row/Townhouse,1900.0,"Lower1,Main,Upper1",Less than 2 months
DENC523336,6.0,235000.0,4,2021,19808,Red Clay Consolidated,1676,0.15,Faulkland Heights,Christiana Hundred,257,True,9400,41400,Residential,1960,3.0,1.0,Yes,No,1000.0,0.0,No,Yes,No,1960.0,FeeSimple,Detached,1000.0,Main,Less than 2 months
DENC510198,6.0,245000.0,10,2020,19808,Red Clay Consolidated,2009,0.19,Limestone Acres,Mill Creek Hundred,58,True,9500,51400,Residential,1961,3.0,2.0,Yes,Yes,1500.0,0.0,No,Yes,No,1961.0,FeeSimple,Detached,1500.0,"Lower1,Main",Less than 2 months
DENC502980,24.0,260000.0,6,2020,19808,Red Clay Consolidated,2612,0.05,Weatherhill Farms,Mill Creek Hundred,132,True,22100,57100,Residential,1988,3.0,3.0,Yes,No,1475.0,0.0,No,Yes,Yes,1988.0,FeeSimple,Interior Row/Townhouse,1475.0,"Lower1,Main,Upper1",Less than 2 months
DENC500324,75.0,265000.0,4,2020,19808,Red Clay Consolidated,3219,0.17,Limestone Hills We,Mill Creek Hundred,52,True,28100,69500,Residential,1993,3.0,2.0,Yes,Yes,1700.0,330.0,No,Yes,No,1993.0,FeeSimple,End of Row/Townhouse,2030.0,"Main,Upper1",More than 2 months
DENC501922,3.0,235000.0,5,2020,19808,Red Clay Consolidated,2154,0.18,Brandywine Springs,Mill Creek Hundred,2,True,11900,53400,Residential,1966,3.0,3.0,Yes,Yes,1875.0,420.0,No,Yes,No,1966.0,FeeSimple,Detached,2295.0,"Main,Upper1",Less than 2 months
DENC501074,23.0,247500.0,5,2020,19808,Red Clay Consolidated,2401,0.17,Fairway Falls,Mill Creek Hundred,233,True,11400,61400,Residential,1978,4.0,2.0,Yes,No,1975.0,656.0,No,Yes,Yes,1978.0,FeeSimple,End of Row/Townhouse,2631.0,"Lower1,Lower2,Main",Less than 2 months
DENC502326,4.0,239999.0,6,2020,19808,Red Clay Consolidated,1725,0.29,Limestone Gardens,Mill Creek Hundred,267,True,12100,40200,Residential,1956,3.0,2.0,Yes,Yes,1450.0,572.0,No,Yes,No,1956.0,FeeSimple,Detached,2022.0,Main,Less than 2 months
DENC524374,0.0,250000.0,4,2021,19808,Red Clay Consolidated,1418,0.17,Cranston Heights,Christiana Hundred,70,True,7200,35800,Residential,1940,3.0,2.0,Yes,No,1400.0,0.0,No,Yes,No,1940.0,FeeSimple,Detached,1400.0,"Main,Upper1",Less than 2 months
DENC521594,4.0,235000.0,3,2021,19808,Red Clay Consolidated,2078,0.07,Fairway Falls,Mill Creek Hundred,230,True,9900,53100,Residential,1978,3.0,2.0,Yes,No,1475.0,0.0,No,Yes,No,1978.0,FeeSimple,Interior Row/Townhouse,1475.0,"Lower1,Main,Upper1",Less than 2 months
DENC518582,1.0,265900.0,2,2021,19808,Red Clay Consolidated,3081,0.0,Stoney Batter,Mill Creek Hundred,122.C.A302,False,15500,77900,Residential,1987,2.0,2.0,No,No,0.0,0.0,No,Yes,Yes,1987.0,FeeSimple,Unit/Flat/Apartment,0.0,Main,Less than 2 months
DENC518650,8.0,250000.0,12,2020,19808,Red Clay Consolidated,2695,0.06,Weatherhill Farms,Mill Creek Hundred,136,False,23600,58100,Residential,1988,2.0,3.0,Yes,No,1450.0,0.0,No,No,Yes,1988.0,FeeSimple,Interior Row/Townhouse,1450.0,"Main,Upper1",Less than 2 months
