MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC522708,3.0,269900.0,3,2021,19711,Christina,2438,0.21,Roseville Park,Mill Creek Hundred,88,True,9500,49500,Residential,1950,3.0,1.0,Yes,Yes,1700.0,0.0,No,Yes,No,1950.0,FeeSimple,Detached,1700.0,Main,Less than 2 months
DENC521380,10.0,294900.0,2,2021,19711,Christina,2339,0.25,Windy Hills,White Clay Creek Hundred,18,True,12300,44300,Residential,1957,3.0,2.0,Yes,Yes,1550.0,520.0,No,Yes,No,1957.0,FeeSimple,Detached,2070.0,"Lower1,Main,Upper1",Less than 2 months
DENC519866,3.0,264900.0,1,2021,19711,Christina,3264,0.07,Linden Way,Mill Creek Hundred,259,True,11300,67700,Residential,2000,2.0,3.0,Yes,No,1975.0,360.0,No,Yes,Yes,2000.0,FeeSimple,End of Row/Townhouse,2335.0,"Lower1,Main,Upper1",Less than 2 months
DENC519764,7.0,272500.0,1,2021,19711,Christina,2446,0.15,Windy Hills,White Clay Creek Hundred,53,True,11100,48100,Residential,1964,3.0,2.0,Yes,Yes,1650.0,644.0,No,Yes,No,1964.0,FeeSimple,Detached,2294.0,"Lower1,Main,Upper1",Less than 2 months
DENC507332,3.0,285000.0,8,2020,19711,Christina,2334,0.2,Harmony Hills,White Clay Creek Hundred,178,False,8700,47800,Residential,1962,5.0,3.0,Yes,No,2350.0,854.0,No,Yes,No,1962.0,FeeSimple,Detached,3204.0,"Lower1,Main",Less than 2 months
DENC506730,5.0,283900.0,8,2020,19711,Christina,3194,0.21,Stafford,Newark City,155,True,13500,59900,Residential,1987,3.0,3.0,Yes,No,1900.0,600.0,No,Yes,No,1987.0,FeeSimple,Detached,2500.0,"Lower1,Main,Upper1",Less than 2 months
DENC503436,13.0,290000.0,6,2020,19711,Red Clay Consolidated,3232,0.1,The Ridge,Mill Creek Hundred,147,True,25200,72800,Residential,1991,2.0,2.0,Yes,Yes,2400.0,536.0,No,Yes,Yes,1991.0,FeeSimple,End of Row/Townhouse,2936.0,"Lower1,Main,Upper1",Less than 2 months
DENC504684,4.0,284500.0,7,2020,19711,Christina,2553,0.21,Sycamore Gardens,Mill Creek Hundred,101,True,10800,51000,Residential,1965,4.0,2.0,Yes,Yes,1850.0,238.0,No,Yes,No,1965.0,FeeSimple,Detached,2088.0,"Lower1,Main,Upper1",Less than 2 months
DENC519250,3.0,286500.0,1,2021,19711,Red Clay Consolidated,1943,0.18,Meadowood,Mill Creek Hundred,141,True,11300,47600,Residential,1960,3.0,2.0,Yes,Yes,1675.0,0.0,No,Yes,No,1960.0,FeeSimple,Detached,1675.0,Main,Less than 2 months
DENC512202,23.0,290000.0,10,2020,19711,Christina,3372,0.36,Elan,Newark City,45,True,15500,62000,Residential,1972,3.0,2.0,Yes,Yes,1650.0,500.0,No,Yes,No,1972.0,FeeSimple,Detached,2150.0,"Lower1,Main,Upper1",Less than 2 months
