MLS Number,address_new,lat,lng
DENC517542,"4432 Sandy  Wilmington, DE",39.7209458,-75.6492434
DENC512400,"3225 Champions  Wilmington, DE",39.7292897,-75.6994627
DENC508204,"1111 Highland  Wilmington, DE",39.7264353,-75.6420614
DENC502158,"1212 Lorrain  Wilmington, DE",39.7285804,-75.6437433
DENC500764,"2721 Westlock  Wilmington, DE",39.7360207,-75.6668334
DENC508476,"3424 Pebble Beach  Wilmington, DE",39.7331389,-75.6976447
DENC523874,"3815 Hutchison  Wilmington, DE",39.7313757,-75.6465161
DENC517754,"4864 Weatherhill  Wilmington, DE",39.7435288,-75.6899553
DENC499872,"4708 Old Capitol  Wilmington, DE",39.7220058,-75.6595607
DENC505060,"2218 Saint Francis  Wilmington, DE",39.72074480000001,-75.6677423
DENC523916,"3240 Champions  Wilmington, DE",39.7297528,-75.69936
DENC523336,"2408 Faulkland  Wilmington, DE",39.7461802,-75.6252868
DENC510198,"4622 Muggleton  Wilmington, DE",39.72323979999999,-75.6624702
DENC502980,"4720 Weatherhill  Wilmington, DE",39.743789,-75.68678799999999
DENC500324,"152 Steven  Wilmington, DE",39.7456821,-75.7030405
DENC501922,"2853 E Oakland  Wilmington, DE",39.7504363,-75.6434251
DENC501074,"3412 Pebble Beach  Wilmington, DE",39.7325583,-75.6977356
DENC502326,"2395 Nicholby  Wilmington, DE",39.7270486,-75.66106119999999
DENC524374,"1809 Marshall  Wilmington, DE",39.744655,-75.5483909
DENC521594,"3406 Pebble Beach  Wilmington, DE",39.7323159,-75.6977696
DENC518582,"3201 Falcon Apt A302 Wilmington, DE",39.744655,-75.5483909
DENC518650,"4728 Weatherhill  Wilmington, DE",39.7440716,-75.6870455
DENC512722,"2721 Bardell  Wilmington, DE",39.7397325,-75.665129
DENC512084,"3712 Wild Cherry  Wilmington, DE",39.7350084,-75.6418341
DENC511666,"2410 Tapley  Wilmington, DE",39.7259075,-75.6667425
DENC511004,"32 Whitehall  Wilmington, DE",39.7239105,-75.6521071
DENC501862,"2676 Whitman  Wilmington, DE",39.7216146,-75.6803312
DENC498786,"4747 Weatherhill  Wilmington, DE",39.74451,-75.68710999999999
DENC517190,"2621 Skylark  Wilmington, DE",39.744655,-75.5483909
DENC512534,"4771 Weatherhill  Wilmington, DE",39.744048,-75.68793
DENC509920,"2727 Newell  Wilmington, DE",39.7463907,-75.63478810000001
DENC511208,"1603 London  Wilmington, DE",39.7310953,-75.6235252
DENC509770,"2426 E Eric  Wilmington, DE",39.7325729,-75.65760689999999
DENC505268,"2616 Dean  Wilmington, DE",39.744655,-75.5483909
DENC504370,"2207 E Huntington  Wilmington, DE",39.713812,-75.6694239
DENC504172,"2410 Owen  Wilmington, DE",39.7322626,-75.6549402
DENC518736,"1317 Chalet  Wilmington, DE",39.72999,-75.64083409999999
DENC502990,"2419 Hartley  Wilmington, DE",39.7313217,-75.6576978
DENC520832,"2450 W Eric  Wilmington, DE",39.7326991,-75.658925
DENC518054,"2413 E Eric  Wilmington, DE",39.7313652,-75.65678869999999
DENC507544,"2402 E Eric  Wilmington, DE",39.7304468,-75.657016
DENC523178,"2712 Bardell  Wilmington, DE",39.7392868,-75.664879
DENC522706,"903 Bradley  Wilmington, DE",39.7886615,-75.5301968
DENC522466,"2203 Milltown  Wilmington, DE",39.7210477,-75.6742414
DENC503184,"2438 Owen  Wilmington, DE",39.744655,-75.5483909
DENC509278,"2814 Bexley  Wilmington, DE",39.7256334,-75.6835804
DENC509278,"2814 Bexley  Wilmington, DE",39.7256334,-75.6835804
DENC523456,"2814 Bexley  Wilmington, DE",39.7256334,-75.6835804
DENC523456,"2814 Bexley  Wilmington, DE",39.7256334,-75.6835804
DENC508528,"2205 Fenton  Wilmington, DE",39.7445878,-75.62924199999999
DENC509890,"2107 Elder  Wilmington, DE",39.744655,-75.5483909
DENC519792,"2914 Mattahoon  Wilmington, DE",39.7391182,-75.6723326
DENC507850,"2306 Frann  Wilmington, DE",39.747284,-75.6249686
DENC501244,"58 Marta  Wilmington, DE",39.7061538,-75.6805215
DENC499874,"11 Cornell  Wilmington, DE",39.7421625,-75.6428796
DENC523992,"2509 Lindell  Wilmington, DE",39.7205247,-75.6713328
DENC521572,"2315 Spruce  Wilmington, DE",39.744655,-75.5483909
DENC521126,"132 Attic  Wilmington, DE",39.7441442,-75.6991896
DENC519780,"4852 Weatherhill  Wilmington, DE",39.743391,-75.68947399999999
DENC519702,"2621 Sherwood  Wilmington, DE",39.7386546,-75.6541979
DENC507654,"3421 Pebble Beach  Wilmington, DE",39.7331551,-75.69714479999999
DENC507868,"1810 School  Wilmington, DE",39.744655,-75.5483909
DENC506164,"132 Steven  Wilmington, DE",39.7450163,-75.7024498
DENC504290,"623 Cranhill  Wilmington, DE",39.7492668,-75.6607885
DENC503704,"2461 Owen  Wilmington, DE",39.744655,-75.5483909
DENC502098,"4639 Griffin  Wilmington, DE",39.7221601,-75.6642427
DENC510674,"3014 Ridgevale  Wilmington, DE",39.72487,-75.69023779999999
DENC512772,"4805 Barker  Wilmington, DE",39.7158311,-75.6587886
DENC510948,"130 Steven  Wilmington, DE",39.7450614,-75.7024953
DENC518896,"2115 Oak  Wilmington, DE",39.744655,-75.5483909
DENC521652,"2106 Louisa  Wilmington, DE",39.7093911,-75.67728629999999
DENC521392,"2413 Alister  Wilmington, DE",39.7460193,-75.6293329
DENC512116,"4818 Old Capitol  Wilmington, DE",39.719746,-75.661354
