MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,TotalLandAsmt,TotalBldgAsmt,YearBuilt,Bedrooms,Baths,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Age,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC503534,4.0,225000.0,6,2020,13,4,2151,0.08,184,4,353,10600,54600,104,3.0,2.0,1,1575.0,1008.0,1979.0,4,2583.0,27,1
DENC501980,2.0,225000.0,5,2020,13,4,2038,0.24,280,4,244,11000,50800,79,4.0,2.0,2,1625.0,0.0,1954.0,1,1625.0,11,1
DENC501462,38.0,239000.0,5,2020,13,4,1227,0.07,129,4,216,7000,30200,26,3.0,2.0,1,1550.0,0.0,1900.0,1,1550.0,12,1
DENC507686,11.0,224900.0,8,2020,13,4,1286,0.14,160,4,539,7600,31400,79,3.0,1.0,1,1075.0,0.0,1954.0,1,1075.0,26,1
DENC508130,27.0,225000.0,9,2020,13,4,3813,0.0,40,4,134,17300,98300,118,2.0,2.0,2,0.0,0.0,1993.0,2,0.0,28,1
DENC507822,46.0,239900.0,9,2020,13,4,1405,0.16,160,4,528,7900,34700,79,3.0,1.0,1,1075.0,0.0,1954.0,1,1075.0,27,1
DENC520716,3.0,225000.0,2,2021,13,4,2279,0.05,184,4,521,9000,60100,109,2.0,3.0,2,1450.0,0.0,1984.0,4,1450.0,12,1
DENC512480,20.0,238000.0,11,2020,13,4,2160,0.07,184,4,375,9900,55600,104,3.0,2.0,2,1550.0,0.0,1979.0,4,1550.0,26,1
DENC497602,83.0,244900.0,3,2020,13,4,2315,0.06,397,4,298,16600,53600,107,3.0,3.0,1,1625.0,0.0,1982.0,4,1625.0,27,2
DENC511338,0.0,229000.0,11,2020,13,4,2378,0.12,184,4,242,10600,61500,111,2.0,3.0,1,1825.0,0.0,1986.0,2,1825.0,27,1
DENC510466,7.0,219900.0,10,2020,13,4,1742,0.11,309,4,287,7200,45600,65,3.0,2.0,2,1450.0,0.0,1940.0,1,1450.0,27,1
DENC524506,5.0,214900.0,4,2021,13,4,1629,0.08,600,4,533,10400,39000,110,3.0,3.0,1,1400.0,0.0,1985.0,2,1400.0,12,1
DENC523362,4.0,224900.0,3,2021,13,4,1296,0.17,160,4,751,7100,32200,75,3.0,1.0,1,1075.0,0.0,1950.0,1,1075.0,26,1
DENC521672,1.0,230000.0,2,2021,13,4,1333,0.15,263,4,765,7800,32600,82,3.0,1.0,1,925.0,0.0,1957.0,1,925.0,26,1
DENC509908,7.0,235000.0,9,2020,13,4,1781,0.15,185,2,277,10400,43600,85,3.0,2.0,2,1025.0,0.0,1960.0,1,1025.0,11,1
DENC520624,6.0,224900.0,2,2021,13,4,2075,0.13,600,4,560,11300,51600,109,3.0,3.0,1,1325.0,0.0,1984.0,2,1325.0,26,1
DENC522354,5.0,225000.0,3,2021,13,4,1253,0.15,160,4,447,7800,30200,77,3.0,1.0,1,1125.0,0.0,1952.0,1,1125.0,26,1
DENC518048,5.0,229900.0,12,2020,13,4,1679,0.46,264,4,388,13400,37500,84,3.0,2.0,1,1800.0,600.0,1959.0,1,2400.0,11,1
DENC513006,45.0,239500.0,11,2020,13,4,1227,0.17,263,4,747,7100,30100,82,3.0,2.0,1,1100.0,0.0,1957.0,1,1100.0,26,1
DENC508044,3.0,225000.0,8,2020,13,4,1751,0.58,164,4,341,10800,42300,62,3.0,2.0,2,1700.0,0.0,1937.0,1,1700.0,26,1
DENC510684,2.0,225000.0,10,2020,13,4,2183,0.05,184,4,539,8600,57600,109,2.0,3.0,1,1700.0,336.0,1984.0,4,2036.0,27,1
DENC520348,12.0,239000.0,2,2021,13,4,2243,0.05,184,4,759,9000,59000,109,2.0,2.0,2,1450.0,0.0,1984.0,4,1450.0,12,1
DENC500064,24.0,255000.0,4,2020,13,4,2230,0.24,96,4,368,11700,55900,89,4.0,2.0,2,1650.0,1000.0,1964.0,1,2650.0,11,1
DENC498974,22.0,230000.0,3,2020,13,4,1702,0.15,185,2,281,10400,41200,85,3.0,1.0,1,1025.0,0.0,1960.0,1,1025.0,26,1
DENC517252,4.0,215000.0,11,2020,13,4,1735,0.32,264,4,779,11800,40800,81,3.0,2.0,2,1825.0,606.0,1956.0,1,2431.0,12,1
DENC523606,6.0,234000.0,4,2021,13,4,2174,0.05,184,4,553,8600,57300,110,2.0,3.0,2,1425.0,0.0,1985.0,4,1425.0,27,1
DENC522204,20.0,239900.0,3,2021,13,4,1926,0.0,284,4,81,6800,51600,98,4.0,4.0,1,2200.0,0.0,1973.0,4,2200.0,12,1
DENC520338,7.0,239000.0,2,2021,13,4,1831,0.23,383,4,245,12300,43200,85,3.0,2.0,1,1650.0,548.0,1960.0,1,2198.0,11,1
DENC523950,1.0,235000.0,4,2021,13,4,2728,0.06,533,4,752,23600,59100,112,2.0,3.0,1,1476.0,350.0,1987.0,4,1826.0,27,1
DENC518792,5.0,185000.0,1,2021,13,4,2306,0.11,184,4,584,10500,59400,108,3.0,3.0,1,2500.0,810.0,1983.0,4,3310.0,28,1
DENC518678,3.0,235000.0,12,2020,13,4,1883,0.32,164,4,769,11100,46000,75,3.0,1.0,2,1450.0,0.0,1950.0,1,1450.0,26,1
DENC509076,1.0,235000.0,9,2020,13,4,2335,0.22,228,4,341,14300,56500,86,4.0,2.0,2,1725.0,0.0,1961.0,1,1725.0,26,1
DENC503958,12.0,250000.0,6,2020,13,4,2035,0.17,6,2,770,11200,50500,86,3.0,2.0,2,1600.0,480.0,1961.0,1,2080.0,12,1
DENC501174,17.0,234900.0,5,2020,13,4,1527,0.24,160,4,574,8300,38000,78,3.0,2.0,1,0.0,0.0,1960.0,1,0.0,26,1
