MLSNumber,Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,BathsFull,Design,Style,NumberofStories,Central_Air_YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,Water,Sewer,Basement_YN,Garage_YN,ExteriorMaterial,LotFrontage,LotDepth,LotSqFt,LotAcres,YearBuilt,Sold_Price,Days_on_Market,PC1,PC2,PC3,Class
DENC2002200,225000.0,19720,WILTON,Colonial,No,Twin/Semi-Detached,0.12,1400.0,1400.0,0.0,3.0,2.0,1.0,Two,SidebySide,"Main,Upper1",Yes,CentralAC,Electric,ForcedAir,Electric,Public,PublicSewer,No,Yes,"AluminumSiding,Brick,VinylSiding",40.0,130.0,5227,0.12,1980,225000.0,7.0,-2.5886509579381105,-0.4922194394252925,-2.006071933024063,1
DENC2001646,219900.0,19720,JEFFERSON FARMS,Colonial,No,Detached,0.17,2334.0,1750.0,584.0,3.0,2.0,1.0,Two,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,67.3,123.4,7405,0.17,1964,225000.0,4.0,-2.285319577209867,-3.076465833422869,-0.7034159313671979,1
DENC2001298,215000.0,19720,NONE AVAILABLE,Colonial,No,Detached,0.2,1732.0,1300.0,432.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,"AluminumSiding,Asbestos,VinylSiding",79.6,99.7,8712,0.2,1962,225000.0,8.0,-3.0042204244138793,-4.428724282784409,-0.14277275526037375,1
DENC528518,219900.0,19720,IVY RIDGE,Colonial,No,Detached,0.16,1075.0,1075.0,0.0,3.0,1.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,65.0,108.5,6970,0.16,1966,225000.0,4.0,-3.5730862428681656,-4.401084993096594,-0.5925292104788615,1
DENC525072,249900.0,19720,DUROSS HEIGHTS,Colonial,No,Detached,0.33,1575.0,1575.0,0.0,5.0,2.0,2.0,OneandaHalf,CapeCod,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,VinylSiding,97.0,148.4,14375,0.33,1956,225000.0,16.0,-0.9481591007640905,-3.1163575802427803,0.8668968164210176,1
DENC523398,235000.0,19720,CASTLE HILLS,Colonial,No,Detached,0.16,1100.0,1100.0,0.0,4.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,No,"AluminumSiding,CopperPlumbing,GalvanizedPlumbing,VinylSiding",56.0,111.5,6970,0.16,1953,225000.0,5.0,-4.562167530260893,-6.523187884850188,-1.3308019223691845,1
DENC2017662,200000.0,19720,MEADOWS OF WILTON,Colonial,No,End of Row/Townhouse,0.09,1350.0,1350.0,0.0,3.0,3.0,2.0,Two,Other,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,"Brick,VinylSiding",35.0,110.0,3920,0.09,1988,226000.0,6.0,-2.2311318778747333,0.33332385912440665,-2.584128964068749,3
DENC2022746,227000.0,19720,OVERVIEW GARDENS,Colonial,No,Detached,0.16,1788.0,1275.0,513.0,0.0,0.0,0.0,Two,Colonial,Main,Yes,CentralAC,NaturalGas,Central,Electric,Public,PublicSewer,Yes,No,Asbestos,68.0,100.0,6970,0.16,1956,227000.0,0.0,-3.949475626256991,-3.415189878335569,-1.0095600172120016,1
DENC2009652,227000.0,19720,SADDLEBROOK,Colonial,Yes,End of Row/Townhouse,0.09,1250.0,1250.0,0.0,3.0,2.0,1.0,Two,Traditional,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,Yes,"Masonry,VinylSiding",35.0,108.0,3920,0.09,1987,227000.0,12.0,-2.3160490172589947,-0.025349508778744485,-3.8230862695448127,3
DENC2013054,225000.0,19720,STONEBRIDGE,Colonial,Yes,Interior Row/Townhouse,0.04,1925.0,1925.0,0.0,3.0,3.0,2.0,Three,CarriageHouse,"Main,Upper1",Yes,CentralAC,NaturalGas,"90ForcedAir,Central",Electric,Public,PublicSewer,No,Yes,"AluminumSiding,VinylSiding",22.3,73.4,1742,0.04,1992,227500.0,10.0,-1.3262984996728016,0.1968894244545069,-4.608184492932853,3
DENC528918,235000.0,19720,CASTLE HILLS,Colonial,Yes,Detached,0.15,900.0,900.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,Yes,"AluminumSiding,VinylSiding",60.0,110.0,6534,0.15,1953,228000.0,15.0,-3.0645488249286226,-5.2550053163199015,-2.2084785516711056,1
DENC2005732,222900.0,19720,WILM MANOR,Colonial,No,Detached,0.12,1425.0,1425.0,0.0,4.0,1.0,1.0,Two,CapeCod,"Main,Upper1",Yes,CentralAC,NaturalGas,90ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"AluminumSiding,Block,Brick",50.0,100.0,5227,0.12,1948,229000.0,15.0,-1.8636949993512255,-1.9303697173117396,-0.4296038164543204,1
DENC2018744,229900.0,19720,WILM MANOR GARDENS,Colonial,No,Detached,0.18,1100.0,1100.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,No,"AluminumSiding,Stone,VinylSiding",65.0,130.7,7841,0.18,1950,229900.0,15.0,-3.8770564303883197,-5.2673268075119255,-1.2352297699525912,1
DENC2003304,229900.0,19720,WEST MINQUADALE,Colonial,No,Detached,0.09,1300.0,1300.0,0.0,3.0,2.0,2.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,VinylSiding,40.0,100.0,3920,0.09,1920,229900.0,7.0,-2.136439705884367,-1.6868843956048354,-1.5902124594052245,1
DENC2020586,214900.0,19720,MANOR PARK,Colonial,No,Detached,0.14,975.0,975.0,0.0,3.0,3.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,Oil,HotWater,Electric,Public,PublicSewer,Yes,No,Brick,63.1,114.5,6098,0.14,1953,230000.0,11.0,-3.3183641283951966,-4.19652919360579,0.3878812212073666,1
DENC2019558,225000.0,19720,EDINBURGH VILLAGE,Colonial,No,End of Row/Townhouse,0.04,1000.0,1000.0,0.0,2.0,2.0,1.0,Two,Other,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",43.6,94.0,1742,0.04,1989,230000.0,10.0,-3.5840760451812397,0.07689524283952595,-2.3221615986770425,3
DENC2019222,230000.0,19720,CEDAR POINTE,Colonial,No,End of Row/Townhouse,0.08,1225.0,1225.0,0.0,3.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,HeatPumps,NaturalGas,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",42.0,116.9,3485,0.08,1988,230000.0,1.0,-2.5539670246755946,0.3052847405653509,-2.4186920917698447,3
DENC2019022,239999.0,19720,NONE AVAILABLE,Colonial,No,Detached,0.17,1100.0,1100.0,0.0,3.0,1.0,1.0,One,Rancher,Main,No,None,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,Yes,Asbestos,55.2,113.8,7405,0.17,1953,230000.0,12.0,-4.403726034446835,-3.8490795958211605,3.222250802560886,1
DENC2014906,220000.0,19720,BALDTON,Colonial,No,Detached,0.17,1050.0,1050.0,0.0,2.0,1.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,"AluminumSiding,VinylSiding",50.0,150.0,7405,0.17,1940,230000.0,1.0,-3.053153276772979,-3.88755840508291,-0.20129403877028526,1
DENC2011270,230000.0,19720,GARFIELD PARK,Colonial,No,Detached,0.14,1250.0,1250.0,0.0,4.0,2.0,2.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,HotWater,Electric,Public,PublicSewer,No,No,Frame,55.0,110.0,6098,0.14,1952,230000.0,1.0,-3.5351282714162107,-4.885514452036379,-0.1843153910901491,1
DENC2009534,224900.0,19720,WILM MANOR,Colonial,No,Detached,0.13,1275.0,1275.0,0.0,3.0,2.0,2.0,Two,Colonial,"Lower1,Main,Upper1",No,WindowUnits,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,"Brick,Stucco",70.0,85.3,5663,0.13,1941,230000.0,7.0,-2.742669600386453,0.5046823174156971,3.1556406379022177,2
DENC2005008,230000.0,19720,WASHINGTON SQUARE,Colonial,No,Detached,0.09,1275.0,1275.0,0.0,4.0,2.0,1.0,Two,Colonial,"Main,Upper1",No,WindowUnits,Oil,BaseboardHotWater,Electric,Public,PublicSewer,No,No,"Asbestos,Brick",40.0,100.0,3920,0.09,1975,230000.0,8.0,-3.7761611340078027,-1.496081079946106,3.533814895117992,2
