Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,NumberofStories,Central_Air_YN,Water,Basement_YN,Garage_YN,ExteriorMaterial,YearBuilt
215000.0,13,279,4,1,1,0.32,2431.0,1825.0,606.0,3.0,2.0,12,2,12,2,2,73,85
234000.0,13,190,4,2,3,0.05,1425.0,1425.0,0.0,2.0,3.0,27,2,12,2,2,270,114
239000.0,13,397,4,1,1,0.23,2198.0,1650.0,548.0,3.0,2.0,11,2,12,2,1,141,89
235000.0,13,553,4,1,3,0.06,1826.0,1476.0,350.0,2.0,3.0,27,2,12,2,1,111,116
185000.0,13,190,4,2,3,0.11,3310.0,2500.0,810.0,3.0,3.0,28,2,12,2,1,164,112
235000.0,13,367,4,1,1,0.32,1450.0,1450.0,0.0,3.0,1.0,26,1,12,2,2,141,79
235000.0,13,238,4,2,1,0.22,1725.0,1725.0,0.0,4.0,2.0,26,2,12,2,2,5,90
250000.0,13,7,4,1,1,0.17,2080.0,1600.0,480.0,3.0,2.0,12,2,12,2,2,291,90
247900.0,13,553,4,2,3,0.04,1600.0,1600.0,0.0,2.0,3.0,12,2,12,2,1,193,115
250000.0,13,353,4,1,1,0.19,2493.0,1875.0,618.0,3.0,2.0,11,2,12,2,2,73,95
239900.0,13,279,4,1,1,0.15,2270.0,1700.0,570.0,3.0,2.0,11,2,12,2,1,141,88
265000.0,13,190,4,1,3,0.06,2354.0,1850.0,504.0,2.0,3.0,12,2,12,2,2,291,115
235000.0,13,319,4,1,1,0.18,1125.0,1125.0,0.0,3.0,2.0,11,2,12,2,2,64,106
240000.0,13,87,4,1,1,0.14,1425.0,1125.0,300.0,3.0,2.0,12,2,12,2,1,141,91
229900.0,13,461,4,1,1,0.2,2498.0,1875.0,623.0,4.0,2.0,12,2,12,2,2,193,88
234900.0,13,190,4,2,3,0.07,1825.0,1575.0,250.0,3.0,3.0,5,2,12,2,1,43,109
229900.0,13,165,4,1,1,0.24,1500.0,1500.0,0.0,4.0,2.0,27,2,12,1,2,43,83
239900.0,13,553,4,1,3,0.05,1834.0,1650.0,184.0,2.0,3.0,27,2,12,2,2,43,117
249900.0,13,151,4,1,1,0.23,1698.0,1425.0,273.0,3.0,2.0,28,1,12,2,2,43,87
249900.0,13,538,4,1,1,0.16,1500.0,1500.0,0.0,3.0,2.0,27,2,12,1,1,291,114
234900.0,13,190,4,2,3,0.05,1900.0,1900.0,0.0,2.0,3.0,12,2,12,2,1,270,114
235000.0,13,191,4,1,1,0.15,1000.0,1000.0,0.0,3.0,1.0,26,2,12,2,1,193,89
245000.0,13,294,4,1,1,0.19,1500.0,1500.0,0.0,3.0,2.0,11,2,12,2,2,141,90
260000.0,13,553,4,2,3,0.05,1475.0,1475.0,0.0,3.0,3.0,12,2,12,2,1,43,117
265000.0,13,297,4,1,2,0.17,2030.0,1700.0,330.0,3.0,2.0,27,2,12,2,2,69,122
235000.0,13,65,4,1,1,0.18,2295.0,1875.0,420.0,3.0,3.0,27,2,12,2,2,73,95
247500.0,13,190,4,2,2,0.17,2631.0,1975.0,656.0,4.0,2.0,4,2,12,2,1,43,107
239999.0,13,295,4,1,1,0.29,2022.0,1450.0,572.0,3.0,2.0,26,2,5,2,2,170,85
250000.0,13,142,4,1,1,0.17,1400.0,1400.0,0.0,3.0,2.0,27,2,12,2,1,69,69
235000.0,13,190,4,1,3,0.07,1475.0,1475.0,0.0,3.0,2.0,12,2,12,2,1,43,107
265900.0,13,495,4,2,8,0.0,0.0,0.0,0.0,2.0,2.0,26,2,12,1,1,164,116
250000.0,13,553,4,2,3,0.06,1450.0,1450.0,0.0,2.0,3.0,27,1,12,2,1,193,117
188000.0,13,461,4,1,1,0.27,2498.0,1875.0,623.0,4.0,2.0,5,1,12,2,2,24,88
274900.0,13,163,4,1,1,0.15,1150.0,1150.0,0.0,4.0,2.0,12,2,12,2,1,164,107
240000.0,13,294,4,2,1,0.25,1725.0,1725.0,0.0,3.0,2.0,27,1,12,2,2,141,82
250000.0,13,279,4,1,1,0.21,1750.0,1162.0,588.0,3.0,2.0,11,2,12,2,2,141,86
250000.0,13,238,4,2,1,0.2,2664.0,2000.0,664.0,4.0,2.0,12,2,12,2,2,43,93
239999.0,13,553,4,2,3,0.05,1475.0,1475.0,0.0,3.0,3.0,13,2,12,2,1,43,116
279900.0,13,78,4,2,1,0.24,0.0,0.0,0.0,3.0,3.0,26,2,12,2,2,141,95
249900.0,13,553,4,2,3,0.05,1834.0,1650.0,184.0,2.0,3.0,13,2,12,2,2,205,116
255000.0,13,191,4,2,1,0.12,1807.0,1375.0,432.0,3.0,1.0,26,2,12,2,1,193,89
